Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
3603,"Embarcadero, San Francisco, CA",1987,709716 (1987),"4/1/2019 - 6/30/2019, Every day, Daily Average",3373,2479,4589
3603,"Embarcadero, San Francisco, CA",1994,910502 (1994),"4/1/2019 - 6/30/2019, Every day, Daily Average",2888,2486,3353
3603,"Embarcadero, San Francisco, CA",2020,609301 (2020),"4/1/2019 - 6/30/2019, Every day, Daily Average",3015,2173,4182
3603,"Embarcadero, San Francisco, CA",2044,609270 (2044),"4/1/2019 - 6/30/2019, Every day, Daily Average",3019,2156,4226
3603,"Embarcadero, San Francisco, CA",2054,609261 (2054),"4/1/2019 - 6/30/2019, Every day, Daily Average",2916,2079,4089
3603,"Embarcadero, San Francisco, CA",2074,609250 (2074),"4/1/2019 - 6/30/2019, Every day, Daily Average",2842,2016,4005
3603,"Embarcadero, San Francisco, CA",2076,609263 (2076),"4/1/2019 - 6/30/2019, Every day, Daily Average",2869,2050,4014
3603,"Embarcadero, San Francisco, CA",2081,609241 (2081),"4/1/2019 - 6/30/2019, Every day, Daily Average",2877,2045,4047
3603,"Embarcadero, San Francisco, CA",2092,609242 (2092),"4/1/2019 - 6/30/2019, Every day, Daily Average",2860,2030,4027
3603,"Embarcadero, San Francisco, CA",2113,910512 (2113),"4/1/2019 - 6/30/2019, Every day, Daily Average",2737,2361,3172
3603,"Embarcadero, San Francisco, CA",2116,609152 (2116),"4/1/2019 - 6/30/2019, Every day, Daily Average",2796,1984,3939
3603,"Embarcadero, San Francisco, CA",2117,609141 (2117),"4/1/2019 - 6/30/2019, Every day, Daily Average",2824,2002,3982
3603,"Embarcadero, San Francisco, CA",2142,609111 (2142),"4/1/2019 - 6/30/2019, Every day, Daily Average",2710,1947,3770
3603,"Embarcadero, San Francisco, CA",2155,609102 (2155),"4/1/2019 - 6/30/2019, Every day, Daily Average",2586,1873,3568
3603,"Embarcadero, San Francisco, CA",2158,609082 (2158),"4/1/2019 - 6/30/2019, Every day, Daily Average",2566,1855,3548
3603,"Embarcadero, San Francisco, CA",2163,910571 (2163),"4/1/2019 - 6/30/2019, Every day, Daily Average",2569,2196,3004
3603,"Embarcadero, San Francisco, CA",2167,609070 (2167),"4/1/2019 - 6/30/2019, Every day, Daily Average",2483,1786,3450
3603,"Embarcadero, San Francisco, CA",2169,910592 (2169),"4/1/2019 - 6/30/2019, Every day, Daily Average",2582,2210,3015
3603,"Embarcadero, San Francisco, CA",2171,609071 (2171),"4/1/2019 - 6/30/2019, Every day, Daily Average",2510,1809,3480
3603,"Embarcadero, San Francisco, CA",2176,910594 (2176),"4/1/2019 - 6/30/2019, Every day, Daily Average",2589,2211,3030
3603,"Embarcadero, San Francisco, CA",2178,910582 (2178),"4/1/2019 - 6/30/2019, Every day, Daily Average",2512,2150,2934
3603,"Embarcadero, San Francisco, CA",2189,507883 (2189),"4/1/2019 - 6/30/2019, Every day, Daily Average",2345,1668,3296
