Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
3394,"Fisherman's Wharf, San Francisco, CA",1608,709746 (1608),"4/1/2019 - 6/30/2019, Every day, Daily Average",4030,3244,5005
3394,"Fisherman's Wharf, San Francisco, CA",1803,809911 (1803),"4/1/2019 - 6/30/2019, Every day, Daily Average",3782,3110,4599
3394,"Fisherman's Wharf, San Francisco, CA",1845,910670 (1845),"4/1/2019 - 6/30/2019, Every day, Daily Average",2412,2133,2726
3394,"Fisherman's Wharf, San Francisco, CA",1864,709739 (1864),"4/1/2019 - 6/30/2019, Every day, Daily Average",4453,3546,5590
3394,"Fisherman's Wharf, San Francisco, CA",1866,809914 (1866),"4/1/2019 - 6/30/2019, Every day, Daily Average",3592,2884,4472
3394,"Fisherman's Wharf, San Francisco, CA",1883,809915 (1883),"4/1/2019 - 6/30/2019, Every day, Daily Average",3749,3056,4598
3394,"Fisherman's Wharf, San Francisco, CA",1894,809913 (1894),"4/1/2019 - 6/30/2019, Every day, Daily Average",3525,2866,4335
3394,"Fisherman's Wharf, San Francisco, CA",1916,709744 (1916),"4/1/2019 - 6/30/2019, Every day, Daily Average",4061,3290,5012
3394,"Fisherman's Wharf, San Francisco, CA",1933,809912 (1933),"4/1/2019 - 6/30/2019, Every day, Daily Average",3300,2625,4148
3394,"Fisherman's Wharf, San Francisco, CA",1940,809917 (1940),"4/1/2019 - 6/30/2019, Every day, Daily Average",3456,2737,4362
3394,"Fisherman's Wharf, San Francisco, CA",1975,80997A (1975),"4/1/2019 - 6/30/2019, Every day, Daily Average",2872,2344,3518
3394,"Fisherman's Wharf, San Francisco, CA",1994,910502 (1994),"4/1/2019 - 6/30/2019, Every day, Daily Average",2486,2078,2973
3394,"Fisherman's Wharf, San Francisco, CA",2041,910490 (2041),"4/1/2019 - 6/30/2019, Every day, Daily Average",2336,1997,2731
3394,"Fisherman's Wharf, San Francisco, CA",2054,609261 (2054),"4/1/2019 - 6/30/2019, Every day, Daily Average",3407,2535,4578
3394,"Fisherman's Wharf, San Francisco, CA",2074,609250 (2074),"4/1/2019 - 6/30/2019, Every day, Daily Average",3328,2462,4497
3394,"Fisherman's Wharf, San Francisco, CA",2076,609263 (2076),"4/1/2019 - 6/30/2019, Every day, Daily Average",3377,2501,4558
3394,"Fisherman's Wharf, San Francisco, CA",2081,609241 (2081),"4/1/2019 - 6/30/2019, Every day, Daily Average",3363,2489,4542
3394,"Fisherman's Wharf, San Francisco, CA",2089,910513 (2089),"4/1/2019 - 6/30/2019, Every day, Daily Average",2313,1974,2708
3394,"Fisherman's Wharf, San Francisco, CA",2092,609242 (2092),"4/1/2019 - 6/30/2019, Every day, Daily Average",3345,2475,4520
3394,"Fisherman's Wharf, San Francisco, CA",2106,910501 (2106),"4/1/2019 - 6/30/2019, Every day, Daily Average",2388,2000,2851
3394,"Fisherman's Wharf, San Francisco, CA",2113,910512 (2113),"4/1/2019 - 6/30/2019, Every day, Daily Average",2321,1936,2782
3394,"Fisherman's Wharf, San Francisco, CA",2116,609152 (2116),"4/1/2019 - 6/30/2019, Every day, Daily Average",3266,2427,4393
3394,"Fisherman's Wharf, San Francisco, CA",2129,910552 (2129),"4/1/2019 - 6/30/2019, Every day, Daily Average",2265,1882,2725
3394,"Fisherman's Wharf, San Francisco, CA",2142,609111 (2142),"4/1/2019 - 6/30/2019, Every day, Daily Average",3183,2350,4310
3394,"Fisherman's Wharf, San Francisco, CA",2155,609102 (2155),"4/1/2019 - 6/30/2019, Every day, Daily Average",3176,2270,4442
3394,"Fisherman's Wharf, San Francisco, CA",2156,910551 (2156),"4/1/2019 - 6/30/2019, Every day, Daily Average",2221,1843,2675
3394,"Fisherman's Wharf, San Francisco, CA",2158,609082 (2158),"4/1/2019 - 6/30/2019, Every day, Daily Average",3147,2242,4416
3394,"Fisherman's Wharf, San Francisco, CA",2163,910571 (2163),"4/1/2019 - 6/30/2019, Every day, Daily Average",2226,1841,2690
3394,"Fisherman's Wharf, San Francisco, CA",2167,609070 (2167),"4/1/2019 - 6/30/2019, Every day, Daily Average",3058,2173,4302
3394,"Fisherman's Wharf, San Francisco, CA",2169,910592 (2169),"4/1/2019 - 6/30/2019, Every day, Daily Average",2170,1792,2626
3394,"Fisherman's Wharf, San Francisco, CA",2171,609071 (2171),"4/1/2019 - 6/30/2019, Every day, Daily Average",3089,2201,4334
3394,"Fisherman's Wharf, San Francisco, CA",2176,910594 (2176),"4/1/2019 - 6/30/2019, Every day, Daily Average",2197,1815,2659
3394,"Fisherman's Wharf, San Francisco, CA",2178,910582 (2178),"4/1/2019 - 6/30/2019, Every day, Daily Average",2143,1772,2591
3394,"Fisherman's Wharf, San Francisco, CA",2189,507883 (2189),"4/1/2019 - 6/30/2019, Every day, Daily Average",2922,2056,4151
3394,"Fisherman's Wharf, San Francisco, CA",2194,507892 (2194),"4/1/2019 - 6/30/2019, Every day, Daily Average",2996,2125,4223
3394,"Fisherman's Wharf, San Francisco, CA",2214,910581 (2214),"4/1/2019 - 6/30/2019, Every day, Daily Average",2083,1722,2518
3394,"Fisherman's Wharf, San Francisco, CA",2233,507871 (2233),"4/1/2019 - 6/30/2019, Every day, Daily Average",2775,1964,3919
3394,"Fisherman's Wharf, San Francisco, CA",2249,910617 (2249),"4/1/2019 - 6/30/2019, Every day, Daily Average",2031,1672,2466
3394,"Fisherman's Wharf, San Francisco, CA",2266,910615 (2266),"4/1/2019 - 6/30/2019, Every day, Daily Average",2006,1647,2441
3394,"Fisherman's Wharf, San Francisco, CA",2273,910601 (2273),"4/1/2019 - 6/30/2019, Every day, Daily Average",1991,1629,2432
3394,"Fisherman's Wharf, San Francisco, CA",2316,507861 (2316),"4/1/2019 - 6/30/2019, Every day, Daily Average",2712,1908,3853
3394,"Fisherman's Wharf, San Francisco, CA",2318,910641 (2318),"4/1/2019 - 6/30/2019, Every day, Daily Average",1950,1595,2382
3394,"Fisherman's Wharf, San Francisco, CA",2319,910613 (2319),"4/1/2019 - 6/30/2019, Every day, Daily Average",1899,1553,2321
3394,"Fisherman's Wharf, San Francisco, CA",2336,910623 (2336),"4/1/2019 - 6/30/2019, Every day, Daily Average",1894,1530,2344
3394,"Fisherman's Wharf, San Francisco, CA",2355,507862 (2355),"4/1/2019 - 6/30/2019, Every day, Daily Average",2665,1885,3766
3394,"Fisherman's Wharf, San Francisco, CA",2380,507840 (2380),"4/1/2019 - 6/30/2019, Every day, Daily Average",2633,1855,3736
3394,"Fisherman's Wharf, San Francisco, CA",2398,910634 (2398),"4/1/2019 - 6/30/2019, Every day, Daily Average",1921,1564,2358
3394,"Fisherman's Wharf, San Francisco, CA",2436,507833 (2436),"4/1/2019 - 6/30/2019, Every day, Daily Average",2590,1829,3666
3394,"Fisherman's Wharf, San Francisco, CA",2441,910631 (2441),"4/1/2019 - 6/30/2019, Every day, Daily Average",1852,1503,2280
3394,"Fisherman's Wharf, San Francisco, CA",2471,507784 (2471),"4/1/2019 - 6/30/2019, Every day, Daily Average",2554,1805,3613
3394,"Fisherman's Wharf, San Francisco, CA",2478,910791 (2478),"4/1/2019 - 6/30/2019, Every day, Daily Average",1802,1448,2241
3394,"Fisherman's Wharf, San Francisco, CA",2492,507763 (2492),"4/1/2019 - 6/30/2019, Every day, Daily Average",2451,1733,3465
3394,"Fisherman's Wharf, San Francisco, CA",2508,910780 (2508),"4/1/2019 - 6/30/2019, Every day, Daily Average",1830,1464,2286
3394,"Fisherman's Wharf, San Francisco, CA",2576,507761 (2576),"4/1/2019 - 6/30/2019, Every day, Daily Average",2366,1679,3332
3394,"Fisherman's Wharf, San Francisco, CA",2600,910771 (2600),"4/1/2019 - 6/30/2019, Every day, Daily Average",1786,1428,2232
3394,"Fisherman's Wharf, San Francisco, CA",2626,910794 (2626),"4/1/2019 - 6/30/2019, Every day, Daily Average",1760,1401,2209
3394,"Fisherman's Wharf, San Francisco, CA",2630,910762 (2630),"4/1/2019 - 6/30/2019, Every day, Daily Average",1802,1442,2251
3394,"Fisherman's Wharf, San Francisco, CA",2638,910814 (2638),"4/1/2019 - 6/30/2019, Every day, Daily Average",1721,1377,2150
